MA0864.3 E2F2	Cluster_296
MA0469.4 E2F3	Cluster_296
MA0470.3 E2F4	Cluster_296
MA0758.1 E2F7	Cluster_297
MA0749.2 ZBED1	Cluster_298
MA0527.2 ZBTB33	Cluster_299
MA2120.1 ZNF184	Cluster_3
MA1562.2 SOX14	Cluster_30
MA1554.2 RFX7	Cluster_300
MA1724.2 Rfx6	Cluster_301
MA0799.3 RFX4	Cluster_302
MA0509.3 RFX1	Cluster_303
MA0798.3 RFX3	Cluster_303
MA0600.3 RFX2	Cluster_303
MA0510.3 RFX5	Cluster_303
MA2334.1 ZNF547	Cluster_304
MA0119.1 NFIC::TLX1	Cluster_305
MA1527.2 NFIC	Cluster_305
MA1528.2 NFIX	Cluster_305
MA1643.2 NFIB	Cluster_306
MA0863.1 MTF1	Cluster_307
MA1711.2 ZNF343	Cluster_308
MA0486.2 HSF1	Cluster_309
MA0770.1 HSF2	Cluster_309
MA0771.1 HSF4	Cluster_309
MA0515.1 Sox6	Cluster_31
MA2095.1 Sox7	Cluster_31
MA0078.3 Sox17	Cluster_31
MA0808.1 TEAD3	Cluster_310
MA0090.4 TEAD1	Cluster_310
MA1121.2 TEAD2	Cluster_310
MA0809.3 TEAD4	Cluster_310
MA1972.1 ZFP14	Cluster_311
MA1601.2 ZNF75D	Cluster_312
MA2097.1 ZNF75A	Cluster_313
MA0625.3 NFATC3	Cluster_314
MA0624.3 Nfatc1	Cluster_314
MA1116.2 RBPJ	Cluster_315
MA1525.3 NFATC4	Cluster_316
MA0606.3 Nfat5	Cluster_316
MA0152.3 Nfatc2	Cluster_317
MA1999.2 Prdm5	Cluster_318
MA0731.1 BCL6B	Cluster_319
MA0143.5 SOX2	Cluster_32
MA1120.2 SOX13	Cluster_32
MA1152.2 SOX15	Cluster_32
MA0514.3 Sox3	Cluster_32
MA0463.3 BCL6	Cluster_320
MA0137.4 STAT1	Cluster_321
MA0144.3 STAT3	Cluster_321
MA0518.2 Stat4	Cluster_321
MA1624.2 Stat5a	Cluster_321
MA0519.2 Stat5a::Stat5b	Cluster_321
MA1625.2 Stat5b	Cluster_321
MA0520.2 Stat6	Cluster_322
MA1579.2 ZBTB26	Cluster_323
MA2096.1 ZNF524	Cluster_324
MA1649.2 ZBTB12	Cluster_325
MA2330.1 ZBTB24	Cluster_326
MA1647.3 Prdm4	Cluster_327
MA0795.1 SMAD3	Cluster_328
MA1557.1 SMAD5	Cluster_328
MA1602.2 ZSCAN29	Cluster_329
MA1563.2 SOX18	Cluster_33
MA0867.3 SOX4	Cluster_33
MA0868.3 SOX8	Cluster_33
MA0077.2 SOX9	Cluster_33
MA0087.3 Sox5	Cluster_33
MA0083.3 SRF	Cluster_330
MA1979.2 ZNF416	Cluster_331
MA0670.2 NFIA	Cluster_332
