name	motif_id	total_tfbs	K4me1_mean_score	K4me1_bound	K4me2_mean_score	K4me2_bound	K4me1_K4me2_change	K4me1_K4me2_pvalue
ZNF784	MA1717.2	39	1.90578	0	0.26159	0	0.13855	3.20762e-09
ZBTB18	MA0698.2	272	1.89613	14	0.39952	7	0.04904	3.70217e-09
TP53	MA0106.3	75	1.66956	7	0.28554	1	0.08526	6.12796e-09
Msgn1	MA1524.3	281	1.62016	11	0.2892	2	0.0455	3.17157e-08
RFX7	MA1554.2	62	1.40929	0	0.40693	1	-0.08943	3.98615e-08
IRF7	MA0772.2	132	1.20344	2	0.35717	2	-0.06244	7.52099e-08
TBP	MA0108.3	57	1.39317	2	0.20182	0	0.09272	1.38796e-07
ZNF257	MA1710.2	389	1.81122	29	0.39852	7	0.03275	1.64449e-07
Arid5a	MA0602.2	34	1.16677	1	0.12573	0	0.17516	1.78548e-07
Rfx6	MA1724.2	103	1.52157	3	0.38345	1	-0.05659	6.6718e-07
MAFA	MA1521.2	128	1.69384	7	0.29591	1	0.05342	6.69082e-07
NR1I3	MA1534.2	128	1.74872	5	0.32063	0	0.05316	1.4196e-06
ONECUT3	MA0757.2	73	1.29407	2	0.22037	2	0.07846	1.58171e-06
ZNF136	MA1588.1	72	1.65024	4	0.49123	4	-0.04702	2.38925e-06
TFCP2	MA1968.2	53	1.27131	1	0.32483	1	-0.09318	2.81427e-06
Spz1	MA0111.1	149	1.82036	7	0.36797	2	0.07411	3.70536e-06
IKZF2	MA2326.1	515	1.69299	35	0.41146	15	0.02872	5.06132e-06
ZNF682	MA1599.2	166	1.81567	12	0.51369	4	-0.04011	1.02681e-05
ZNF574	MA1982.2	125	1.90915	15	0.39571	1	0.04446	1.13484e-05
ZNF454	MA1712.2	145	2.06865	21	0.45152	4	0.05192	2.16359e-05
NFIB	MA1643.2	99	1.94796	9	0.35492	1	0.05401	2.62398e-05
ZNF343	MA1711.2	164	1.74471	14	0.5352	3	-0.04617	2.96083e-05
Zfp809	MA2125.1	188	1.67925	8	0.34975	0	0.02143	6.98338e-05
RELB	MA1117.2	63	1.82056	4	0.33315	1	0.06156	0.000132636
SRF	MA0083.3	45	1.86531	4	0.32511	0	0.06217	0.000212234
