Ensembl Gene ID,Gene name,FPKM 512-cell,FPKM 256-cell, FPKM 128-cell,fold-change,lfc_512_128,lfc_256_128,512_4fold,256_4fold,256_2fold
ENSDARG00000088392,BX088547.2,6.99,1.27,0.19,2.74,2.75,0.93,1,0,0
ENSDARG00000068708,ifrd1,6.97,1.8,0.39,2.52,2.52,1.01,1,0,1
ENSDARG00000018308,ets2,6.97,2.38,0.82,2.13,2.13,0.89,1,0,0
ENSDARG00000002353,TAGAP (1 of 2),6.95,0.61,0.01,2.98,2.98,0.67,1,0,0
ENSDARG00000074359,si:ch211-155k24.1,6.95,0.78,0.03,2.95,2.95,0.79,1,0,0
ENSDARG00000038576,ube2d1,6.94,2.73,0.95,2.02,2.03,0.94,1,0,0
ENSDARG00000075936,SUGP1,6.91,1.54,0.88,2.07,2.07,0.43,1,0,0
ENSDARG00000068021,si:ch211-224b1.4,6.91,2.03,0.61,2.3,2.30,0.91,1,0,0
ENSDARG00000012788,foxa3,6.81,0.29,0.01,2.95,2.95,0.35,1,0,0
ENSDARG00000091021,CABZ01001466.1,6.77,1.62,0.01,2.95,2.94,1.38,1,0,1
ENSDARG00000091124,RPS19BP1,6.77,1.53,0.87,2.06,2.05,0.44,1,0,0
ENSDARG00000020219,dld,6.69,0.72,0.02,2.91,2.91,0.75,1,0,0
ENSDARG00000003754,TSPAN2 (1 of 2),6.61,2.15,0.42,2.43,2.42,1.15,1,0,1
ENSDARG00000086690,BX663613.2,6.59,1.07,0,2.92,2.92,1.05,1,0,1
ENSDARG00000074789,si:ch73-138e16.6,6.56,1.12,0.4,2.44,2.43,0.60,1,0,0
ENSDARG00000077769,CITED1,6.54,0.57,0.13,2.74,2.74,0.47,1,0,0
ENSDARG00000089854,CDKN1C (2 of 2),6.49,0.77,0.09,2.78,2.78,0.70,1,0,0
ENSDARG00000041754,cct2,6.49,2.15,0.85,2.02,2.02,0.77,1,0,0
ENSDARG00000052134,zgc:111991,6.46,3.12,0.79,2.06,2.06,1.20,1,0,1
ENSDARG00000092441,si:dkey-53f14.2,6.26,1.08,0.01,2.85,2.85,1.04,1,0,1
ENSDARG00000094076,CR450840.2,6.26,1.44,0.27,2.51,2.52,0.94,1,0,0
ENSDARG00000089097,CR388363.1,6.16,1.43,0.05,2.77,2.77,1.21,1,0,1
ENSDARG00000090622,BX901974.3,6.15,1.17,0.05,2.76,2.77,1.05,1,0,1
ENSDARG00000074658,upf2,6.11,3.32,0.64,2.12,2.12,1.40,1,0,1
ENSDARG00000095705,C4H22orf40,6.1,2.19,0.74,2.03,2.03,0.87,1,0,0
ENSDARG00000078024,CU570881.1,6.09,2.79,0.03,2.79,2.78,1.88,1,0,1
ENSDARG00000077205,zgc:153116,6.05,2.39,0.68,2.07,2.07,1.01,1,0,1
ENSDARG00000030703,otx1a,6.02,0.54,0.02,2.79,2.78,0.59,1,0,0
ENSDARG00000009950,edf1,6.01,1.6,0.54,2.19,2.19,0.76,1,0,0
ENSDARG00000076807,zgc:113265,5.95,1.1,0.15,2.6,2.60,0.87,1,0,0
ENSDARG00000038386,ascl1a,5.94,1.3,0,2.8,2.79,1.20,1,0,1
ENSDARG00000055831,si:dkey-182g1.6,5.93,1.84,0.03,2.74,2.75,1.46,1,0,1
ENSDARG00000035149,pex12,5.91,2.46,0.58,2.13,2.13,1.13,1,0,1
ENSDARG00000035150,si:dkey-261j4.4,5.85,0.77,0,2.78,2.78,0.82,1,0,0
ENSDARG00000094308,CR759833.1,5.75,0.66,0,2.75,2.75,0.73,1,0,0
ENSDARG00000070084,phf10,5.72,2.81,0.47,2.19,2.19,1.37,1,0,1
ENSDARG00000091994,BX649516.4,5.7,0.89,0.01,2.73,2.73,0.90,1,0,0
ENSDARG00000074979,LARP4 (1 of 2),5.68,1.42,0.54,2.12,2.12,0.65,1,0,0
ENSDARG00000069869,zgc:113030,5.68,1.27,0.23,2.44,2.44,0.88,1,0,0
ENSDARG00000006837,mycn,5.65,0.67,0.02,2.71,2.70,0.71,1,0,0
ENSDARG00000008887,ephx1l,5.62,1.48,0.25,2.4,2.40,0.99,1,0,0
ENSDARG00000089697,BX546447.2,5.62,1.31,0.32,2.33,2.33,0.81,1,0,0
ENSDARG00000095734,si:ch211-196g2.8,5.58,0.66,0.02,2.69,2.69,0.70,1,0,0
ENSDARG00000093110,BX539341.3,5.55,1.16,0.06,2.63,2.63,1.03,1,0,1
ENSDARG00000075666,tsc22d3,5.55,0.66,0.05,2.65,2.64,0.66,1,0,0
ENSDARG00000061120,slc43a2b,5.52,1.21,0.28,2.35,2.35,0.79,1,0,0
ENSDARG00000040893,bmper,5.52,0.45,0,2.7,2.70,0.54,1,0,0
ENSDARG00000074868,si:dkey-4c15.16,5.51,1.43,0.63,2,2.00,0.58,0,0,0
ENSDARG00000036612,ift27,5.48,1.96,0.5,2.11,2.11,0.98,1,0,0
ENSDARG00000090587,BX649341.4,5.42,0.97,0,2.68,2.68,0.98,1,0,0
ENSDARG00000086389,CR556708.1,5.42,1.02,0.01,2.66,2.67,1.00,1,0,1
ENSDARG00000039989,snrnp48,5.4,3.4,0.26,2.35,2.34,1.80,1,0,1
ENSDARG00000087886,si:dkey-15h8.13,5.37,1.93,0.38,2.21,2.21,1.09,1,0,1
ENSDARG00000013966,psma6b,5.34,1.08,0.34,2.24,2.24,0.63,1,0,0
ENSDARG00000055647,ftr82,5.31,0.58,0.02,2.62,2.63,0.63,1,0,0
